POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
736	719	-	77
737	720	-	55
738	722	-	77
739	1781	-	9
740	724	-	77
741	1215	+	39
742	725	-	81
743	726	-	75
744	521	-	79
745	727	+	77
746	729	+	87
747	730	-	81
748	1537	+	11
749	747	-	69
750	731	+	91
751	733	-	85
752	734	-	77
753	735	-	77
754	736	+	67
755	743	-	81
756	742	-	95
757	740	+	77
758	739	-	83
759	739	-	85
760	738	-	79
761	737	+	77
762	744	-	83
763	745	-	68
764	748	+	81
765	754	+	95
766	755	+	89
767	756	-	79
768	757	-	67
769	758	-	69
770	759	-	75
771	761	-	79
772	763	-	79
773	765	-	79
774	766	+	81
775	767	+	113
776	857	-	79
777	1778	-	9
778	800	-	79
779	801	+	75
780	803	-	123
781	803	-	125
782	804	+	81
783	805	+	77
784	806	+	65
785	807	+	75
786	808	-	63
787	809	+	77
788	1797	+	9
789	810	+	75
790	795	-	79
791	794	-	85
792	792	-	77
793	791	+	79
794	789	-	127
795	789	-	129
796	1120	+	55
797	787	+	79
798	784	+	79
799	783	-	79
800	782	-	75
801	1090	-	85
802	1090	-	87
803	1776	+	9
804	781	-	75
805	780	+	123
806	777	+	75
807	773	-	73
808	1175	-	39
809	772	-	75
810	92	+	57
811	589	-	87
812	588	+	97
813	587	-	77
814	586	+	79
815	585	+	77
816	827	-	85
817	828	-	77
818	497	-	121
819	497	-	123
820	495	-	83
821	494	+	77
822	493	-	77
823	668	+	117
824	1141	+	43
825	491	-	110
826	491	-	109
827	1014	+	69
828	487	-	77
829	1787	+	9
830	486	+	91
831	829	-	85
832	830	+	75
833	831	-	83
834	831	-	85
835	833	+	79
836	835	+	87
837	836	-	75
838	1391	+	37
839	837	+	81
840	840	-	71
841	839	+	77
842	1808	+	9
843	843	-	83
844	844	-	71
845	848	+	79
846	852	+	77
847	853	-	81
848	1065	+	43
849	855	-	89
850	866	-	71
851	864	+	75
852	863	-	77
853	862	+	79
854	861	+	87
855	860	-	81
856	858	+	77
857	768	+	81
858	769	+	77
859	1165	-	39
860	771	+	65
861	93	+	75
862	94	-	79
863	350	-	81
864	825	+	79
865	826	+	67
866	824	+	101
867	824	+	103
868	823	+	75
869	821	-	77
870	1400	-	31
871	820	+	105
872	820	+	107
873	819	-	73
874	818	+	71
875	817	+	63
876	816	-	81
877	815	+	75
878	814	+	87
879	814	+	89
880	813	-	79
881	812	-	78
882	811	-	81
883	797	+	77
884	798	-	79
885	799	-	83
886	868	+	85
887	869	+	79
888	870	-	83
889	871	+	109
890	874	-	81
891	875	-	79
892	876	+	77
